"BehaviorSpace results (NetLogo 7.0.3)","Spreadsheet version 2.0"
"LANA_v3_1.nlogox"
"E7-longer-horizon-S2"
"04/22/2026 09:28:00:539 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20"
"SEED","1",,,,,,,,,,,,,"2",,,,,,,,,,,,,"3",,,,,,,,,,,,,"4",,,,,,,,,,,,,"5",,,,,,,,,,,,,"6",,,,,,,,,,,,,"7",,,,,,,,,,,,,"8",,,,,,,,,,,,,"9",,,,,,,,,,,,,"10",,,,,,,,,,,,,"11",,,,,,,,,,,,,"12",,,,,,,,,,,,,"13",,,,,,,,,,,,,"14",,,,,,,,,,,,,"15",,,,,,,,,,,,,"16",,,,,,,,,,,,,"17",,,,,,,,,,,,,"18",,,,,,,,,,,,,"19",,,,,,,,,,,,,"20",,,,,,,,,,,,
"N-NODES","150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,,"150",,,,,,,,,,,,
"ALPHA","0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,,"0.2",,,,,,,,,,,,
"THRESHOLD","0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,,"0.8",,,,,,,,,,,,
"V-RESET","0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,
"POp","10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,,"10",,,,,,,,,,,,
"INHIB-FRAC","0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,,"0.1",,,,,,,,,,,,
"INIT-NFUN-MEAN","0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,,"0.9",,,,,,,,,,,,
"INIT-NFUN-SD","0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,,"0.08",,,,,,,,,,,,
